id,description,skills,experience
1,"Rector of Belarusian State University. He was
responsible for the expulsion of several
students from the University because they
participated in the demonstrations on
19 December 2010 and in other peaceful
demonstrations in 2011.","MS Word, Java, C++","4 years"
2,"Responsible for implementing the politically-
motivated administrative and criminal
sanctions against representatives of civil
society. Former judge of the Pukhovichi
District Court (retired since 8 September
2011). She unlawfully rejected in March
2011 the motion of Natalia Ilinich to
restore her position as teacher of the
Secondary School in Talkov City (sacked in
January 2011).","AK47, Salsa, Weed smoking","3 years"
3,"Former judge of the Supreme Economic
Court, Counsellor in the Court of the
Eurasian Economic Community (since
19 November 2012). He sustained the ban
of the independent 'Autoradio' station on
29 March 2011. The radio station had
been transmitting the electoral programme
of Mr. Sannikov, one of the opposition
candidates in the Presidential election of
December 2010.","Surgery without anaestesia, drugs, rock'n'roll","7 years"
4,"Major, head of operative unit of penal
colony IK-17 in Shklov. Exerted pressure
on political prisoners by denying their
right to correspondence and meetings,
issued orders to subject them to a stricter
criminal regime, searches, and made threats
in order to extort confessions. He was
directly responsible for violating the human
rights of political prisoners and opposition
activists in 2011-2012 by using excessive
force against them. His actions constituted
a direct violation of the international
commitments of Belarus in the field of
human rights.","Reading english, writing russian, speaking spanish","7 month"
5,"Rector of International Humanitarian-
Economic Institute. Responsible for the
expulsion of students involved in protests
following the December 2010 elections.","Drinking pizza, eating vodka","3 days"
6,"Deputy President of the Pervomayski District
Court of the city of Minsk. Former judge at
the Pervomayski Rayon Court of the city of
Minsk.","MS Word, Java, C++","4 years"
7,"First Deputy Minister of Information. She
has played a major role since 2003 in
promoting
state
propaganda,
which
provokes, supports and justifies the
repression of the democratic opposition
and of civil society, and by suppressing the
freedom of the media. Democratic
opposition and civil society are system­
atically highlighted in a negative and
derogatory way using falsified information.","AK47, Salsa, Weed smoking","3 years"
8,"Deputy Prosecutor General, former Pros­
ecutor of the region of Minsk. Responsible
for the repression of civil society following
the December 2010 elections.","Surgery without anaestesia, drugs, rock'n'roll","7 years"
9,"Colonel, head of the KGB detention centre in
Minsk. He was personally responsible for
cruel, inhuman and degrading treatment or
punishment of those who were detained in
the weeks and months after the crackdown
on the post-election protest demonstration
in Minsk on 19 December 2010. His
actions constituted a direct violation of the
international commitments of Belarus in the
field of human rights.","Reading english, writing russian, speaking spanish","7 month"
10,"Colonel, commander of a special brigade of
Interior Troops in the Uruchie suburb of
Minsk. He commanded his unit during the
crackdown on the post-election protest
demonstration in Minsk on 19 December
2010 where an excessive use of force was
applied. His actions constituted a direct
violation of the international commitments
of Belarus in the field of human rights.","Drinking pizza, eating vodka","3 days"
11,"Deputy Minister of Justice, in charge of legal
support to the institutions that draft legis­
lative and regulatory acts. Her functions
include supervising the drafting of legis­
lation.
She was responsible for the role and the
action of the Ministry of Justice and the
judiciary of Belarus, which are major
instruments of repression of the population,
by elaborating laws that are repressive
towards civil society and the democratic
opposition.","MS Word, Java, C++","4 years"
12,"Has been actively involved in the repression
of civil society in Belarus. As a former
Deputy Head of the KGB, in charge of the
staff and the organisation of their tasks, he
was responsible for the repressive work of
the KGB against civil society and democratic
opposition. Reassigned to the reserve forces
in May 2012","AK47, Salsa, Weed smoking","3 years"
13,"He was directly involved in the judicial
repression of the peaceful demonstrators
on 19 December 2010. On 20 December
2010, he sentenced civil society activists
Ihar Pashkovich, Dzimtry Pashyk, Anton
Davydzenka, Artsem Liaudanski and
Artsem Kuzmin to 10 days in jail. The
way he conducted the trials was a clear
violation of the Code of Criminal Procedure.
He sustained the use of evidence and testi­
monies irrelevant to the accused.","Surgery without anaestesia, drugs, rock'n'roll","7 years"
14,"Judge of the Pervomaiski District Court of
Minsk. On 24 November 2011, he
sentenced Ales Byalyatski, one of the most
prominent human rights defenders, Chief of
the Belarusian HR Centre 'Vyasna', Vice
President of FIDH. The trial was conducted
in a way that was a clear violation of the
Code of Criminal Procedure.","Reading english, writing russian, speaking spanish","7 month"
15,"Judge at the Partizanski District Court of the
city of Minsk. He was directly involved in
the judicial repression of the peaceful
demonstrators on 19 December 2010. On
20 December 2010, he sentenced civil
society activists Siarhei Piakarchyk and
Siarhei Navitski to 13 days in jail, as well
as Yauhen Kandrautsu to 11 days in jail. The
way he conducted the trials was a clear
violation of the Code of Criminal Procedure.
He sustained the use of evidence and testi­
monies irrelevant to the accused.","Drinking pizza, eating vodka","3 days"
16,"Public Prosecutor of the Oktiabrski
(Kastrichnitski) District of Minsk. He dealt
with the case of Pavel Vinogradov, Dmitri
Drozd, Ales Kirkevich and Vladimir Homi­
chenko. The accusation presented by him
had a clear and imminent political moti­
vation and was a clear violation of the
Code of Criminal Procedure. It was based
on an incorrect classification of the events
of 19 December 2010, not sustained by
evidence, proof or testimonies of witnesses.","MS Word, Java, C++","4 years"
17,"Colonel, Chief of Minsk police. Since his
appointment as Chief of Minsk police on
21 October 2011, he has been responsible,
as commander, for the repression of
approximately a dozen peaceful protesters
in Minsk, who were later convicted for
breaking the law on mass events. For
several years he commanded police action
against street protests of the opposition.","AK47, Salsa, Weed smoking","3 years"
18,"Rector of Minsk State University of
Informatics
and
Radioelectronics.
Responsible for the expulsion of students
involved in protests following the
December 2010 elections.","Surgery without anaestesia, drugs, rock'n'roll","7 years"
19,"Director of the Information and Analytical
Centre of the President's Administration.
He is one of the main sources of state
propaganda, which supports and justifies
the repression of the democratic opposition
and of civil society. Democratic opposition
and civil society are systematically high­
lighted in a negative and derogatory way
using falsified information.","Reading english, writing russian, speaking spanish","7 month"
20,"Deputy Head of the KGB, former Head of
the KGB of the Region of Brest. Responsible
for the repressive work of the KGB against
civil society and democratic opposition in
the region of Brest and in Belarus.","Drinking pizza, eating vodka","3 days"
21,"Judge at the City Court of Minsk, former
judge at the Central District Court of
Minsk. On 26 October 2011, he sentenced
civil society activist Siarhei Kazakou to 10
days in jail. The way he conducted the trials
was a clear violation of the Code of Criminal
Procedure. He sustained the use of evidence
and testimonies irrelevant to the accused.","MS Word, Java, C++","4 years"
22,"Head of the pro-regime Union of writers and
Chairman of the Morality Republican Public
Council (that takes part in the censorship
activities of the regime) and former
Chairman of the Foreign Affairs Committee
of the Upper House. He is a close supporter
of President Lukashenka, and key to the
regime's propaganda and censorship.","AK47, Salsa, Weed smoking","3 years"
